time	V(vin)	V(vout)
9.355615266969776e-004	-3.948061e-003	-4.393864e-002
9.474197856255490e-004	-3.253058e-003	-3.699062e-002
9.592780445541204e-004	-2.530810e-003	-2.977013e-002
9.655559463398346e-004	-2.145811e-003	-2.592115e-002
9.718338481255488e-004	-1.758987e-003	-2.205388e-002
9.781117499112631e-004	-1.370337e-003	-1.816834e-002
9.843896516969772e-004	-9.798620e-004	-1.426452e-002
9.906675534826915e-004	-5.875615e-004	-1.034242e-002
9.969454552684058e-004	-1.934356e-004	-6.402034e-003
1.003223357054120e-003	2.025157e-004	-2.443370e-003
1.009719241540727e-003	6.113429e-004	1.644949e-003
1.016215126027334e-003	1.017682e-003	5.708128e-003
1.022711010513941e-003	1.421533e-003	9.746168e-003
1.029206895000548e-003	1.822896e-003	1.375907e-002
1.035702779487155e-003	2.221771e-003	1.774683e-002
1.042198663973762e-003	2.618158e-003	2.170945e-002
1.048694548460369e-003	3.012057e-003	2.564693e-002
1.059855262746083e-003	3.680240e-003	3.232779e-002
1.071015977031797e-003	4.322810e-003	3.875265e-002
1.082176691317511e-003	4.939765e-003	4.492151e-002
1.093337405603225e-003	5.531106e-003	5.083436e-002
1.104498119888940e-003	6.096833e-003	5.649121e-002
1.115658834174654e-003	6.636946e-003	6.189206e-002
1.126819548460367e-003	7.151444e-003	6.703690e-002
1.146350798460367e-003	7.971048e-003	7.523307e-002
1.165882048460367e-003	8.651374e-003	8.203687e-002
1.185413298460366e-003	9.192423e-003	8.744829e-002
1.204944548460366e-003	9.594194e-003	9.146734e-002
1.224475798460365e-003	9.856688e-003	9.409400e-002
1.244007048460365e-003	9.979904e-003	9.532829e-002
1.263538298460365e-003	9.963843e-003	9.517019e-002
1.280976914531793e-003	9.797934e-003	9.351364e-002
1.298415530603221e-003	9.526402e-003	9.080098e-002
1.315854146674649e-003	9.149246e-003	8.703220e-002
1.333292762746077e-003	8.666466e-003	8.220731e-002
1.350731378817506e-003	8.078063e-003	7.632630e-002
1.368169994888934e-003	7.384036e-003	6.938918e-002
1.385608610960362e-003	6.584386e-003	6.139594e-002
1.396071780603219e-003	6.069573e-003	5.624973e-002
1.406534950246076e-003	5.534573e-003	5.090163e-002
1.416998119888933e-003	4.979386e-003	4.535163e-002
1.427461289531790e-003	4.404012e-003	3.959973e-002
1.437924459174647e-003	3.808452e-003	3.364593e-002
1.448387628817504e-003	3.192705e-003	2.749023e-002
1.458850798460360e-003	2.556772e-003	2.113263e-002
1.464256769442503e-003	2.225789e-003	1.782436e-002
1.469662740424646e-003	1.893278e-003	1.450055e-002
1.475068711406789e-003	1.559238e-003	1.116121e-002
1.480474682388932e-003	1.223670e-003	7.806347e-003
1.485880653371074e-003	8.865739e-004	4.435949e-003
1.491286624353217e-003	5.479489e-004	1.050019e-003
1.496692595335360e-003	2.077954e-004	-2.351443e-003
1.504365586406788e-003	-2.770373e-004	-7.198733e-003
1.512038577478217e-003	-7.584528e-004	-1.201190e-002
1.519711568549645e-003	-1.236451e-003	-1.679096e-002
1.527384559621073e-003	-1.711033e-003	-2.153589e-002
1.535057550692502e-003	-2.182197e-003	-2.624670e-002
1.542730541763930e-003	-2.649944e-003	-3.092340e-002
1.550403532835359e-003	-3.114274e-003	-3.556597e-002
1.562959336406787e-003	-3.863847e-003	-4.306065e-002
1.575515139978215e-003	-4.578900e-003	-5.021030e-002
1.588070943549644e-003	-5.259434e-003	-5.701492e-002
1.600626747121072e-003	-5.905447e-003	-6.347453e-002
1.613182550692500e-003	-6.516942e-003	-6.958911e-002
1.625738354263929e-003	-7.093916e-003	-7.535867e-002
1.638294157835357e-003	-7.636371e-003	-8.078321e-002
1.652942595335356e-003	-8.197456e-003	-8.639428e-002
1.667591032835356e-003	-8.689147e-003	-9.131166e-002
1.682239470335356e-003	-9.107284e-003	-9.549373e-002
1.692005095335356e-003	-9.343403e-003	-9.785553e-002
1.701770720335355e-003	-9.544357e-003	-9.986576e-002
1.711536345335355e-003	-9.709386e-003	-1.015169e-001
1.721301970335355e-003	-9.837872e-003	-1.028026e-001
1.731067595335355e-003	-9.929331e-003	-1.037182e-001
1.740833220335355e-003	-9.983418e-003	-1.042601e-001
1.750598845335354e-003	-9.999929e-003	-1.044264e-001
1.760364470335354e-003	-9.978803e-003	-1.042164e-001
1.770130095335354e-003	-9.920119e-003	-1.036309e-001
1.779895720335354e-003	-9.824098e-003	-1.026721e-001
1.789661345335354e-003	-9.691101e-003	-1.013436e-001
1.799426970335353e-003	-9.521630e-003	-9.965037e-002
1.809192595335353e-003	-9.316321e-003	-9.759885e-002
1.818958220335353e-003	-9.075947e-003	-9.519674e-002
1.833606657835353e-003	-8.651654e-003	-9.095632e-002
1.848255095335352e-003	-8.154125e-003	-8.598360e-002
1.862903532835352e-003	-7.587569e-003	-8.032068e-002
1.877551970335352e-003	-6.956783e-003	-7.401548e-002
1.889410229263923e-003	-6.393931e-003	-6.838916e-002
1.901268488192494e-003	-5.804222e-003	-6.249423e-002
1.913126747121065e-003	-5.187656e-003	-5.633069e-002
1.924985006049636e-003	-4.544232e-003	-4.989853e-002
1.936843264978208e-003	-3.873951e-003	-4.319777e-002
1.948701523906779e-003	-3.176812e-003	-3.622839e-002
1.960559782835350e-003	-2.452816e-003	-2.899040e-002
1.966837684621064e-003	-2.067085e-003	-2.513409e-002
1.973115586406778e-003	-1.679653e-003	-2.126074e-002
1.979393488192492e-003	-1.290520e-003	-1.737036e-002
1.985671389978207e-003	-8.996849e-004	-1.346294e-002
1.991949291763921e-003	-5.071492e-004	-9.538475e-003
1.998227193549635e-003	-1.129123e-004	-5.596976e-003
2.004505095335349e-003	2.830257e-004	-1.638438e-003
2.012189147858042e-003	7.664554e-004	3.195964e-003
2.019873200380736e-003	1.245804e-003	7.989250e-003
2.027557252903429e-003	1.721073e-003	1.274142e-002
2.035241305426123e-003	2.192261e-003	1.745247e-002
2.042925357948816e-003	2.659368e-003	2.212241e-002
2.050609410471509e-003	3.122395e-003	2.675122e-002
2.058293462994202e-003	3.581341e-003	3.133893e-002
2.070849266565630e-003	4.316046e-003	3.868503e-002
2.083405070137059e-003	5.013735e-003	4.566114e-002
2.095960873708487e-003	5.674407e-003	5.226726e-002
2.108516677279915e-003	6.298063e-003	5.850340e-002
2.121072480851344e-003	6.884702e-003	6.436954e-002
2.133628284422772e-003	7.434324e-003	6.986569e-002
2.146184087994200e-003	7.946930e-003	7.499185e-002
2.176876052279914e-003	8.974221e-003	8.526609e-002
2.207568016565627e-003	9.645599e-003	9.198196e-002
2.238259980851341e-003	9.961066e-003	9.513945e-002
2.268951945137055e-003	9.920619e-003	9.473857e-002
2.299643909422769e-003	9.524261e-003	9.077931e-002
2.330335873708482e-003	8.771990e-003	8.326168e-002
2.361027837994196e-003	7.663806e-003	7.218567e-002
2.372886096922767e-003	7.156140e-003	6.711119e-002
2.384744355851338e-003	6.616769e-003	6.171964e-002
2.396602614779909e-003	6.045691e-003	5.601101e-002
2.408460873708480e-003	5.442908e-003	4.998530e-002
2.420319132637052e-003	4.808420e-003	4.364252e-002
2.432177391565623e-003	4.142226e-003	3.698266e-002
2.444035650494194e-003	3.444326e-003	3.000573e-002
2.451374999244649e-003	3.004079e-003	2.560570e-002
2.458714347995104e-003	2.560294e-003	2.116986e-002
2.466053696745559e-003	2.112970e-003	1.669820e-002
2.473393045496014e-003	1.662108e-003	1.219071e-002
2.480732394246469e-003	1.207707e-003	7.647402e-003
2.488071742996924e-003	7.497675e-004	3.068273e-003
2.495411091747379e-003	2.882897e-004	-1.546677e-003
2.502386538175950e-003	-1.520348e-004	-5.948971e-003
2.509361984604521e-003	-5.899781e-004	-1.032750e-002
2.516337431033093e-003	-1.025540e-003	-1.468225e-002
2.523312877461664e-003	-1.458721e-003	-1.901323e-002
2.530288323890235e-003	-1.889521e-003	-2.332045e-002
2.537263770318806e-003	-2.317939e-003	-2.760389e-002
2.544239216747378e-003	-2.743976e-003	-3.186357e-002
2.556097475675949e-003	-3.461186e-003	-3.903459e-002
2.567955734604520e-003	-4.150098e-003	-4.592278e-002
2.579813993533091e-003	-4.810712e-003	-5.252816e-002
2.591672252461662e-003	-5.443029e-003	-5.885071e-002
2.603530511390234e-003	-6.047047e-003	-6.489043e-002
2.615388770318805e-003	-6.622769e-003	-7.064734e-002
2.627247029247376e-003	-7.170192e-003	-7.612142e-002
2.641895466747376e-003	-7.780499e-003	-8.222452e-002
2.656543904247375e-003	-8.324942e-003	-8.766922e-002
2.671192341747375e-003	-8.798912e-003	-9.240946e-002
2.680957966747375e-003	-9.073734e-003	-9.515817e-002
2.690723591747375e-003	-9.314406e-003	-9.756546e-002
2.700489216747374e-003	-9.520018e-003	-9.962229e-002
2.710254841747374e-003	-9.689801e-003	-1.013209e-001
2.720020466747374e-003	-9.823114e-003	-1.026549e-001
2.729786091747374e-003	-9.919453e-003	-1.036193e-001
2.739551716747374e-003	-9.978459e-003	-1.042104e-001
2.749317341747373e-003	-9.999908e-003	-1.044261e-001
2.759082966747373e-003	-9.983719e-003	-1.042654e-001
2.768848591747373e-003	-9.929955e-003	-1.037291e-001
2.778614216747373e-003	-9.838816e-003	-1.028191e-001
2.788379841747372e-003	-9.710645e-003	-1.015388e-001
2.798145466747372e-003	-9.545927e-003	-9.989314e-002
2.807911091747372e-003	-9.345279e-003	-9.788823e-002
2.817676716747372e-003	-9.109458e-003	-9.553163e-002
2.832325154247372e-003	-8.691753e-003	-9.135708e-002
2.846973591747371e-003	-8.200470e-003	-8.644684e-002
2.861622029247371e-003	-7.639770e-003	-8.084247e-002
2.876270466747371e-003	-7.014398e-003	-7.459141e-002
2.888128725675942e-003	-6.455617e-003	-6.900578e-002
2.899986984604513e-003	-5.869591e-003	-6.314768e-002
2.911845243533084e-003	-5.256321e-003	-5.701710e-002
2.923703502461655e-003	-4.615806e-003	-5.061404e-002
2.935561761390227e-003	-3.948047e-003	-4.393850e-002
2.947420020318798e-003	-3.253044e-003	-3.699048e-002
2.959278279247369e-003	-2.530796e-003	-2.976999e-002
2.965556181033083e-003	-2.145797e-003	-2.592100e-002
2.971834082818797e-003	-1.758972e-003	-2.205374e-002
2.978111984604511e-003	-1.370323e-003	-1.816820e-002
2.984389886390226e-003	-9.798474e-004	-1.426437e-002
2.990667788175940e-003	-5.875469e-004	-1.034227e-002
2.996945689961654e-003	-1.934209e-004	-6.401886e-003
3.003223591747368e-003	2.025304e-004	-2.443222e-003
3.009719476233975e-003	6.113576e-004	1.645097e-003
3.016215360720582e-003	1.017697e-003	5.708276e-003
3.022711245207189e-003	1.421548e-003	9.746315e-003
3.029207129693796e-003	1.822911e-003	1.375921e-002
3.035703014180403e-003	2.221786e-003	1.774697e-002
3.042198898667010e-003	2.618173e-003	2.170959e-002
3.048694783153617e-003	3.012072e-003	2.564707e-002
3.059855497439331e-003	3.680254e-003	3.232793e-002
3.071016211725045e-003	4.322823e-003	3.875278e-002
3.082176926010759e-003	4.939777e-003	4.492164e-002
3.093337640296473e-003	5.531118e-003	5.083448e-002
3.104498354582187e-003	6.096844e-003	5.649133e-002
3.115659068867901e-003	6.636957e-003	6.189217e-002
3.126819783153615e-003	7.151455e-003	6.703700e-002
3.146351033153615e-003	7.971057e-003	7.523317e-002
3.165882283153614e-003	8.651382e-003	8.203695e-002
3.185413533153614e-003	9.192430e-003	8.744836e-002
3.204944783153614e-003	9.594199e-003	9.146738e-002
3.224476033153613e-003	9.856691e-003	9.409403e-002
3.244007283153613e-003	9.979905e-003	9.532829e-002
3.263538533153612e-003	9.963841e-003	9.517018e-002
3.280977149225040e-003	9.797931e-003	9.351361e-002
3.298415765296469e-003	9.526397e-003	9.080093e-002
3.315854381367897e-003	9.149240e-003	8.703214e-002
3.333292997439325e-003	8.666459e-003	8.220724e-002
3.350731613510754e-003	8.078054e-003	7.632621e-002
3.368170229582182e-003	7.384026e-003	6.938908e-002
3.385608845653610e-003	6.584375e-003	6.139583e-002
3.396072015296467e-003	6.069561e-003	5.624962e-002
3.406535184939323e-003	5.534560e-003	5.090151e-002
3.416998354582181e-003	4.979373e-003	4.535150e-002
3.427461524225037e-003	4.403999e-003	3.959959e-002
3.437924693867894e-003	3.808438e-003	3.364579e-002
3.448387863510751e-003	3.192691e-003	2.749009e-002
3.458851033153608e-003	2.556757e-003	2.113249e-002
3.464257004135751e-003	2.225775e-003	1.782421e-002
