time	V(vin)	V(vout)
1.064916974599329e-003	3.966691e-003	5.618211e-002
1.079565412099329e-003	4.793590e-003	6.445769e-002
1.094213849599329e-003	5.579912e-003	7.232156e-002
1.108862287099328e-003	6.318998e-003	7.972023e-002
1.118627912099328e-003	6.782372e-003	8.435705e-002
1.128393537099328e-003	7.220220e-003	8.873875e-002
1.138159162099328e-003	7.630892e-003	9.284885e-002
1.147924787099327e-003	8.012843e-003	9.667191e-002
1.157690412099327e-003	8.364636e-003	1.001935e-001
1.167456037099327e-003	8.684946e-003	1.034005e-001
1.177221662099327e-003	8.972568e-003	1.062808e-001
1.186987287099327e-003	9.226419e-003	1.088235e-001
1.201635724599326e-003	9.541822e-003	1.119860e-001
1.216284162099326e-003	9.776451e-003	1.143373e-001
1.230932599599326e-003	9.928321e-003	1.158650e-001
1.245581037099325e-003	9.996146e-003	1.165486e-001
1.260229474599325e-003	9.979351e-003	1.163890e-001
1.274877912099325e-003	9.878080e-003	1.153824e-001
1.289526349599324e-003	9.693190e-003	1.135407e-001
1.304174787099324e-003	9.426245e-003	1.108780e-001
1.313940412099324e-003	9.203783e-003	1.086577e-001
1.323706037099324e-003	8.946680e-003	1.060909e-001
1.333471662099323e-003	8.655905e-003	1.031872e-001
1.343237287099323e-003	8.332551e-003	9.995753e-002
1.353002912099323e-003	7.977834e-003	9.641401e-002
1.362768537099323e-003	7.593091e-003	9.257001e-002
1.372534162099323e-003	7.179769e-003	8.844001e-002
1.382299787099322e-003	6.739424e-003	8.403955e-002
1.396948224599322e-003	6.031890e-003	7.696787e-002
1.411596662099322e-003	5.273296e-003	6.938577e-002
1.426245099599321e-003	4.470062e-003	6.135646e-002
1.440893537099321e-003	3.628988e-003	5.294793e-002
1.455541974599321e-003	2.757194e-003	4.423002e-002
1.463214965670749e-003	2.287977e-003	3.953981e-002
1.470887956742178e-003	1.816202e-003	3.482348e-002
1.478560947813606e-003	1.341869e-003	3.008104e-002
1.486233938885034e-003	8.649767e-004	2.531248e-002
1.493906929956463e-003	3.855262e-004	2.051780e-002
1.501579921027891e-003	-9.648273e-005	1.569700e-002
1.509252912099320e-003	-5.810502e-004	1.085009e-002
1.513800592162227e-003	-8.666644e-004	7.993853e-003
1.518348272225134e-003	-1.150975e-003	5.150550e-003
1.522895952288041e-003	-1.433982e-003	2.320179e-003
1.527443632350948e-003	-1.715685e-003	-4.972573e-004
1.531991312413855e-003	-1.996085e-003	-3.301761e-003
1.536538992476762e-003	-2.275181e-003	-6.093331e-003
1.541086672539669e-003	-2.552973e-003	-8.871968e-003
1.550852297539668e-003	-3.141056e-003	-1.475443e-002
1.565500735039668e-003	-4.000334e-003	-2.335017e-002
1.580149172539668e-003	-4.825748e-003	-3.160783e-002
1.594797610039667e-003	-5.610311e-003	-3.945759e-002
1.609446047539667e-003	-6.347383e-003	-4.683286e-002
1.624094485039667e-003	-7.030723e-003	-5.367138e-002
1.638742922539667e-003	-7.654546e-003	-5.991508e-002
1.653391360039666e-003	-8.213572e-003	-6.551126e-002
1.681990690396809e-003	-9.109216e-003	-7.448120e-002
1.710590020753951e-003	-9.694031e-003	-8.034264e-002
1.739189351111093e-003	-9.968017e-003	-8.309557e-002
1.767788681468235e-003	-9.931173e-003	-8.273999e-002
1.796388011825377e-003	-9.583500e-003	-7.927592e-002
1.824987342182520e-003	-8.924997e-003	-7.270334e-002
1.853586672539662e-003	-7.955665e-003	-6.302226e-002
1.868235110039662e-003	-7.365147e-003	-5.712219e-002
1.882883547539661e-003	-6.712281e-003	-5.059816e-002
1.897531985039661e-003	-6.002595e-003	-4.350544e-002
1.912180422539661e-003	-5.242096e-003	-3.590402e-002
1.926828860039660e-003	-4.437221e-003	-2.785829e-002
1.941477297539660e-003	-3.594785e-003	-1.943633e-002
1.951242922539660e-003	-3.015804e-003	-1.364778e-002
1.961008547539660e-003	-2.425471e-003	-7.745436e-003
1.965891360039660e-003	-2.126741e-003	-4.758519e-003
1.969114098033172e-003	-1.928327e-003	-2.774584e-003
1.972336836026685e-003	-1.729302e-003	-7.845221e-004
1.975559574020198e-003	-1.529669e-003	1.211666e-003
1.978782312013711e-003	-1.329425e-003	3.213980e-003
1.982005050007223e-003	-1.128572e-003	5.222421e-003
1.985227788000736e-003	-9.271101e-004	7.236988e-003
1.988450525994249e-003	-7.250381e-004	9.257682e-003
1.996821061708535e-003	-1.961106e-004	1.454704e-002
2.005191597422820e-003	3.297487e-004	1.980593e-002
2.013562133137106e-003	8.525399e-004	2.503434e-002
2.021932668851391e-003	1.372263e-003	3.023228e-002
2.030303204565677e-003	1.888918e-003	3.539975e-002
2.038673740279962e-003	2.402505e-003	4.053675e-002
2.047044275994248e-003	2.913023e-003	4.564327e-002
2.061692713494248e-003	3.779923e-003	5.431508e-002
2.076341150994247e-003	4.614825e-003	6.266750e-002
2.090989588494247e-003	5.410662e-003	7.062981e-002
2.105638025994247e-003	6.160697e-003	7.813463e-002
2.115403650994246e-003	6.632122e-003	8.285213e-002
2.125169275994246e-003	7.078585e-003	8.732021e-002
2.134934900994246e-003	7.498405e-003	9.152206e-002
2.144700525994246e-003	7.890004e-003	9.544186e-002
2.154466150994246e-003	8.251905e-003	9.906487e-002
2.164231775994245e-003	8.582749e-003	1.023774e-001
2.173997400994245e-003	8.881290e-003	1.053671e-001
2.183763025994245e-003	9.146403e-003	1.080226e-001
2.193528650994245e-003	9.377090e-003	1.103340e-001
2.208177088494245e-003	9.656712e-003	1.131371e-001
2.222825525994244e-003	9.854590e-003	1.151228e-001
2.237473963494244e-003	9.969044e-003	1.162744e-001
2.252122400994244e-003	9.999111e-003	1.165822e-001
2.266770838494243e-003	9.944533e-003	1.160434e-001
2.281419275994243e-003	9.805772e-003	1.146627e-001
2.296067713494243e-003	9.584004e-003	1.124518e-001
2.310716150994242e-003	9.281106e-003	1.094293e-001
2.320481775994242e-003	9.035341e-003	1.069758e-001
2.330247400994242e-003	8.755567e-003	1.041821e-001
2.340013025994242e-003	8.442841e-003	1.010588e-001
2.349778650994241e-003	8.098337e-003	9.761743e-002
2.359544275994241e-003	7.723353e-003	9.387112e-002
2.369309900994241e-003	7.319300e-003	8.983392e-002
2.379075525994241e-003	6.887699e-003	8.552103e-002
2.388841150994241e-003	6.430174e-003	8.094869e-002
2.403489588494240e-003	5.699071e-003	7.364158e-002
2.418138025994240e-003	4.919725e-003	6.585146e-002
2.432786463494240e-003	4.098732e-003	5.764431e-002
2.447434900994239e-003	3.243044e-003	4.908957e-002
2.462083338494239e-003	2.359902e-003	4.025969e-002
2.469756329565667e-003	1.886066e-003	3.552187e-002
2.477429320637096e-003	1.410620e-003	3.076777e-002
2.485102311708524e-003	9.335640e-004	2.599741e-002
2.492775302779953e-003	4.548987e-004	2.121076e-002
2.500448293851381e-003	-2.537637e-005	1.640785e-002
2.508121284922810e-003	-5.072611e-004	1.158865e-002
2.515794275994238e-003	-9.907555e-004	6.753185e-003
2.526170252556738e-003	-1.636926e-003	2.905162e-004
2.529788765391559e-003	-1.861023e-003	-1.950895e-003
2.533407278226380e-003	-2.083885e-003	-4.179982e-003
2.537025791061202e-003	-2.305511e-003	-6.396745e-003
2.540644303896023e-003	-2.525902e-003	-8.601183e-003
2.544262816730845e-003	-2.745056e-003	-1.079330e-002
2.547881329565666e-003	-2.962974e-003	-1.297309e-002
2.551499842400488e-003	-3.179657e-003	-1.514055e-002
2.566148279900487e-003	-4.037590e-003	-2.372287e-002
2.580796717400487e-003	-4.861344e-003	-3.196397e-002
2.595445154900487e-003	-5.643945e-003	-3.979410e-002
2.610093592400486e-003	-6.378770e-003	-4.714697e-002
2.624742029900486e-003	-7.059597e-003	-5.396034e-002
2.639390467400486e-003	-7.680664e-003	-6.017653e-002
2.654038904900485e-003	-8.236713e-003	-6.574292e-002
2.682638235257627e-003	-9.125429e-003	-7.464361e-002
2.711237565614770e-003	-9.703346e-003	-8.043609e-002
2.739836895971912e-003	-9.970465e-003	-8.312036e-002
2.768436226329054e-003	-9.926784e-003	-8.269642e-002
2.797035556686197e-003	-9.572305e-003	-7.916427e-002
2.825634887043339e-003	-8.907027e-003	-7.252390e-002
2.854234217400481e-003	-7.930949e-003	-6.277533e-002
2.868882654900481e-003	-7.337565e-003	-5.684658e-002
2.883531092400480e-003	-6.682067e-003	-5.029622e-002
2.898179529900480e-003	-5.970004e-003	-4.317969e-002
2.912827967400480e-003	-5.207404e-003	-3.555726e-002
2.927476404900480e-003	-4.400723e-003	-2.749342e-002
2.942124842400479e-003	-3.556789e-003	-1.905646e-002
2.951890467400479e-003	-2.976987e-003	-1.325968e-002
2.961656092400479e-003	-2.385980e-003	-7.350575e-003
2.966538904900479e-003	-2.086968e-003	-4.360834e-003
2.973252772087979e-003	-1.672678e-003	-2.183529e-004
2.977002074543336e-003	-1.439703e-003	2.111248e-003
2.980751376998693e-003	-1.206237e-003	4.445797e-003
2.984500679454050e-003	-9.722807e-004	6.785293e-003
2.988249981909407e-003	-7.378336e-004	9.129736e-003
2.991999284364764e-003	-5.028958e-004	1.147913e-002
2.995748586820121e-003	-2.674675e-004	1.383346e-002
2.999497889275478e-003	-3.154849e-005	1.619275e-002
3.007868424989764e-003	4.977703e-004	2.148629e-002
3.016238960704049e-003	1.022128e-003	2.673044e-002
3.024609496418335e-003	1.541524e-003	3.192517e-002
3.032980032132620e-003	2.055959e-003	3.707051e-002
3.041350567846906e-003	2.565433e-003	4.216643e-002
3.049721103561191e-003	3.069946e-003	4.721296e-002
3.058091639275477e-003	3.569498e-003	5.221008e-002
3.072740076775477e-003	4.412933e-003	6.064769e-002
3.087388514275476e-003	5.219012e-003	6.871227e-002
3.102036951775476e-003	5.980911e-003	7.633563e-002
3.116685389275476e-003	6.692180e-003	8.345314e-002
3.126451014275476e-003	7.135240e-003	8.788722e-002
3.136216639275475e-003	7.551444e-003	9.205294e-002
3.145982264275475e-003	7.939227e-003	9.593461e-002
3.155747889275475e-003	8.297128e-003	9.951762e-002
3.165513514275475e-003	8.623799e-003	1.027885e-001
3.175279139275474e-003	8.918014e-003	1.057349e-001
3.185044764275474e-003	9.178663e-003	1.083458e-001
3.194810389275474e-003	9.404765e-003	1.106113e-001
3.209458826775474e-003	9.677320e-003	1.133437e-001
3.224107264275473e-003	9.867953e-003	1.152571e-001
3.238755701775473e-003	9.975053e-003	1.163351e-001
3.253404139275473e-003	9.997712e-003	1.165688e-001
3.268052576775473e-003	9.935739e-003	1.159561e-001
3.282701014275472e-003	9.789659e-003	1.145022e-001
3.297349451775472e-003	9.560707e-003	1.122194e-001
3.311997889275472e-003	9.250822e-003	1.091270e-001
3.321763514275471e-003	9.000538e-003	1.066283e-001
3.331529139275471e-003	8.716376e-003	1.037907e-001
3.341294764275471e-003	8.399409e-003	1.006249e-001
3.351060389275471e-003	8.050829e-003	9.714282e-002
3.360826014275471e-003	7.671947e-003	9.335750e-002
3.370591639275470e-003	7.264189e-003	8.928324e-002
3.380357264275470e-003	6.829090e-003	8.493534e-002
3.390122889275470e-003	6.368289e-003	8.033020e-002
3.404771326775470e-003	5.632712e-003	7.297830e-002
3.419419764275469e-003	4.849453e-003	6.514900e-002
3.434068201775469e-003	4.025142e-003	5.690861e-002
3.448716639275469e-003	3.166758e-003	4.832688e-002
3.457087174989754e-003	2.660160e-003	4.326181e-002
3.465457710704040e-003	2.149764e-003	3.815857e-002
3.473828246418325e-003	1.635572e-003	3.301715e-002
3.482198782132611e-003	1.117583e-003	2.783755e-002
3.490569317846896e-003	5.957979e-004	2.261977e-002
3.498939853561182e-003	7.021544e-005	1.736381e-002
3.507310389275467e-003	-4.591638e-004	1.206967e-002
3.510217392950656e-003	-6.417687e-004	1.024345e-002
3.513124396625844e-003	-8.239812e-004	8.421132e-003
3.516031400301032e-003	-1.005801e-003	6.602710e-003
3.518938403976221e-003	-1.187229e-003	4.788187e-003
3.521845407651409e-003	-1.368264e-003	2.977563e-003
3.524752411326597e-003	-1.548907e-003	1.170838e-003
3.527659415001785e-003	-1.729157e-003	-6.319889e-004
3.531321524376786e-003	-1.955311e-003	-2.893960e-003
3.536204336876785e-003	-2.255218e-003	-5.893684e-003
3.541087149376785e-003	-2.553002e-003	-8.872241e-003
3.550852774376785e-003	-3.141084e-003	-1.475471e-002
3.565501211876785e-003	-4.000361e-003	-2.335044e-002
3.580149649376785e-003	-4.825774e-003	-3.160811e-002
3.594798086876784e-003	-5.610337e-003	-3.945782e-002
3.609446524376784e-003	-6.347406e-003	-4.683312e-002
3.624094961876784e-003	-7.030744e-003	-5.367156e-002
3.638743399376783e-003	-7.654565e-003	-5.991529e-002
3.653391836876783e-003	-8.213589e-003	-6.551142e-002
3.681991167233925e-003	-9.109228e-003	-7.448132e-002
3.710590497591068e-003	-9.694038e-003	-8.034270e-002
3.739189827948210e-003	-9.968018e-003	-8.309559e-002
3.767789158305352e-003	-9.931170e-003	-8.273997e-002
3.796388488662494e-003	-9.583491e-003	-7.927584e-002
3.824987819019637e-003	-8.924984e-003	-7.270321e-002
3.853587149376779e-003	-7.955647e-003	-6.302208e-002
3.868235586876778e-003	-7.365127e-003	-5.712198e-002
3.882884024376778e-003	-6.712259e-003	-5.059795e-002
3.897532461876778e-003	-6.002571e-003	-4.350520e-002
3.912180899376777e-003	-5.242070e-003	-3.590377e-002
3.926829336876777e-003	-4.437195e-003	-2.785802e-002
3.941477774376777e-003	-3.594757e-003	-1.943605e-002
3.951243399376777e-003	-3.015775e-003	-1.364749e-002
3.961009024376776e-003	-2.425442e-003	-7.745144e-003
3.965891836876776e-003	-2.126712e-003	-4.758228e-003
3.967021430044762e-003	-2.057295e-003	-4.064128e-003
3.968151023212748e-003	-1.987784e-003	-3.369093e-003
3.969280616380734e-003	-1.918180e-003	-2.673123e-003
3.970410209548721e-003	-1.848483e-003	-1.976217e-003
3.971539802716707e-003	-1.778693e-003	-1.278377e-003
3.972669395884693e-003	-1.708809e-003	-5.796006e-004
3.973798989052679e-003	-1.638832e-003	1.201107e-004
3.973799585099126e-003	-1.638795e-003	1.204801e-004
3.978424272948995e-003	-1.350984e-003	2.997933e-003
3.983048960798862e-003	-1.062609e-003	5.881244e-003
3.987673648648730e-003	-7.736697e-004	8.770413e-003
3.992298336498597e-003	-4.841667e-004	1.166544e-002
3.996923024348465e-003	-1.940997e-004	1.456632e-002
4.001547712198333e-003	9.653122e-005	1.747306e-002
4.006172400048201e-003	3.877261e-004	2.038566e-002
4.014542935762486e-003	9.160455e-004	2.566945e-002
4.022913471476772e-003	1.438271e-003	3.089252e-002
4.031284007191057e-003	1.954403e-003	3.605486e-002
4.039654542905343e-003	2.464440e-003	4.115647e-002
4.048025078619628e-003	2.968384e-003	4.619735e-002
4.056395614333914e-003	3.466234e-003	5.117751e-002
4.064766150048200e-003	3.957990e-003	5.609694e-002
4.079414587548199e-003	4.785271e-003	6.437226e-002
4.094063025048199e-003	5.572045e-003	7.224498e-002
4.108711462548199e-003	6.311650e-003	7.964487e-002
4.118477087548199e-003	6.775406e-003	8.428584e-002
4.128242712548198e-003	7.213660e-003	8.867200e-002
4.138008337548198e-003	7.624764e-003	9.278685e-002
4.147773962548198e-003	8.007170e-003	9.661487e-002
4.157539587548198e-003	8.359439e-003	1.001417e-001
4.167305212548197e-003	8.680245e-003	1.033540e-001
4.177070837548197e-003	8.968380e-003	1.062397e-001
4.186836462548197e-003	9.222761e-003	1.087879e-001
4.201484900048197e-003	9.538982e-003	1.119563e-001
4.216133337548196e-003	9.774454e-003	1.143185e-001
4.230781775048196e-003	9.927183e-003	1.158524e-001
4.245430212548196e-003	9.995878e-003	1.165468e-001
4.260078650048195e-003	9.979956e-003	1.163944e-001
4.274727087548195e-003	9.879551e-003	1.153973e-001
4.289375525048195e-003	9.695515e-003	1.135639e-001
4.304023962548195e-003	9.429405e-003	1.109092e-001
4.313789587548194e-003	9.207484e-003	1.086943e-001
4.323555212548194e-003	8.950911e-003	1.061327e-001
4.333320837548194e-003	8.660646e-003	1.032340e-001
4.343086462548194e-003	8.337786e-003	1.000093e-001
4.352852087548194e-003	7.983544e-003	9.647051e-002
4.362617712548193e-003	7.599254e-003	9.263110e-002
4.372383337548193e-003	7.186362e-003	8.850547e-002
4.382148962548193e-003	6.746422e-003	8.410915e-002
4.396797400048193e-003	6.039446e-003	7.704359e-002
4.411445837548192e-003	5.281345e-003	6.946622e-002
4.426094275048192e-003	4.478537e-003	6.144109e-002
4.440742712548192e-003	3.637817e-003	5.303644e-002
4.455391150048191e-003	2.766302e-003	4.432557e-002
4.463064141119620e-003	2.297201e-003	3.963414e-002
4.470737132191048e-003	1.825520e-003	3.491700e-002
4.478410123262476e-003	1.351259e-003	3.017414e-002
4.486083114333905e-003	8.744173e-004	2.540555e-002
4.493756105405334e-003	3.949954e-004	2.061125e-002
4.501429096476762e-003	-8.700682e-005	1.579124e-002
4.509102087548190e-003	-5.715893e-004	1.094550e-002
4.513671341261981e-003	-8.585886e-004	8.075134e-003
4.518240594975772e-003	-1.144274e-003	5.217863e-003
4.522809848689562e-003	-1.428644e-003	2.373688e-003
4.527379102403352e-003	-1.711701e-003	-4.573924e-004
4.531948356117143e-003	-1.993443e-003	-3.275377e-003
4.536517609830934e-003	-2.273871e-003	-6.080267e-003
4.541086863544724e-003	-2.552985e-003	-8.872061e-003
4.550852488544724e-003	-3.141067e-003	-1.475453e-002
4.565500926044724e-003	-4.000345e-003	-2.335028e-002
4.580149363544723e-003	-4.825759e-003	-3.160795e-002
4.594797801044723e-003	-5.610322e-003	-3.945767e-002
4.609446238544723e-003	-6.347392e-003	-4.683298e-002
4.624094676044722e-003	-7.030731e-003	-5.367143e-002
4.638743113544722e-003	-7.654554e-003	-5.991518e-002
4.653391551044722e-003	-8.213579e-003	-6.551132e-002
4.681990881401864e-003	-9.109221e-003	-7.448124e-002
4.710590211759006e-003	-9.694034e-003	-8.034266e-002
4.739189542116148e-003	-9.968018e-003	-8.309557e-002
4.767788872473291e-003	-9.931172e-003	-8.273998e-002
4.796388202830433e-003	-9.583497e-003	-7.927589e-002
4.824987533187575e-003	-8.924992e-003	-7.270329e-002
4.853586863544718e-003	-7.955658e-003	-6.302219e-002
4.868235301044717e-003	-7.365139e-003	-5.712210e-002
4.882883738544717e-003	-6.712272e-003	-5.059808e-002
4.897532176044717e-003	-6.002585e-003	-4.350534e-002
4.912180613544716e-003	-5.242086e-003	-3.590392e-002
4.926829051044716e-003	-4.437211e-003	-2.785818e-002
4.941477488544716e-003	-3.594774e-003	-1.943622e-002
4.951243113544715e-003	-3.015792e-003	-1.364766e-002
4.961008738544715e-003	-2.425460e-003	-7.745319e-003
4.965891551044715e-003	-2.126730e-003	-4.758403e-003
4.969811847650924e-003	-1.885252e-003	-2.343881e-003
4.973732144257132e-003	-1.642934e-003	7.909047e-005
4.977652440863341e-003	-1.399776e-003	2.510512e-003
4.981572737469550e-003	-1.155777e-003	4.950383e-003
4.985493034075758e-003	-9.109379e-004	7.398703e-003
4.989413330681967e-003	-6.652582e-004	9.855473e-003
4.993333627288175e-003	-4.187381e-004	1.232069e-002
4.998216439788175e-003	-1.120621e-004	1.538756e-002
5.000000000000000e-003	-1.224647e-017	1.650823e-002
