Freq.	V(vout)
3.31131121482591e+000	(2.00004544460058e+001dB,-1.05843012459640e-004°)
3.38844156139202e+000	(2.00004544460842e+001dB,-1.08308412928294e-004°)
3.46736850452531e+000	(2.00004544461662e+001dB,-1.10831239950767e-004°)
3.54813389233575e+000	(2.00004544462521e+001dB,-1.13412831163341e-004°)
3.63078054770101e+000	(2.00004544463421e+001dB,-1.16054555359802e-004°)
3.71535229097172e+000	(2.00004544464363e+001dB,-1.18757813217273e-004°)
3.80189396320560e+000	(2.00004544465350e+001dB,-1.21524038033802e-004°)
3.89045144994280e+000	(2.00004544466382e+001dB,-1.24354696518541e-004°)
3.98107170553496e+000	(2.00004544467464e+001dB,-1.27251289498873e-004°)
4.07380277804112e+000	(2.00004544468597e+001dB,-1.30215352796717e-004°)
4.16869383470335e+000	(2.00004544469783e+001dB,-1.33248457992153e-004°)
4.26579518801592e+000	(2.00004544471024e+001dB,-1.36352213288518e-004°)
4.36515832240165e+000	(2.00004544472325e+001dB,-1.39528264338281e-004°)
4.46683592150962e+000	(2.00004544473686e+001dB,-1.42778295108452e-004°)
4.57088189614874e+000	(2.00004544475112e+001dB,-1.46104028825565e-004°)
4.67735141287197e+000	(2.00004544476605e+001dB,-1.49507228838026e-004°)
4.78630092322637e+000	(2.00004544478169e+001dB,-1.52989699548972e-004°)
4.89778819368445e+000	(2.00004544479806e+001dB,-1.56553287428897e-004°)
5.01187233627271e+000	(2.00004544481520e+001dB,-1.60199881933026e-004°)
5.12861383991364e+000	(2.00004544483315e+001dB,-1.63931416540730e-004°)
5.24807460249771e+000	(2.00004544485195e+001dB,-1.67749869740701e-004°)
5.37031796370252e+000	(2.00004544487163e+001dB,-1.71657266154632e-004°)
5.49540873857623e+000	(2.00004544489224e+001dB,-1.75655677514983e-004°)
5.62341325190348e+000	(2.00004544491382e+001dB,-1.79747223831803e-004°)
5.75439937337156e+000	(2.00004544493642e+001dB,-1.83934074511630e-004°)
5.88843655355588e+000	(2.00004544496008e+001dB,-1.88218449470793e-004°)
6.02559586074356e+000	(2.00004544498486e+001dB,-1.92602620341475e-004°)
6.16595001861481e+000	(2.00004544501080e+001dB,-1.97088911668970e-004°)
6.30957344480192e+000	(2.00004544503797e+001dB,-2.01679702144222e-004°)
6.45654229034654e+000	(2.00004544506642e+001dB,-2.06377425864914e-004°)
6.60693448007594e+000	(2.00004544509621e+001dB,-2.11184573634929e-004°)
6.76082975391980e+000	(2.00004544512740e+001dB,-2.16103694232439e-004°)
6.91830970918935e+000	(2.00004544516007e+001dB,-2.21137395892992e-004°)
7.07945784384136e+000	(2.00004544519427e+001dB,-2.26288347525498e-004°)
7.24435960074988e+000	(2.00004544523009e+001dB,-2.31559280213446e-004°)
7.41310241300916e+000	(2.00004544526759e+001dB,-2.36952988702868e-004°)
7.58577575029182e+000	(2.00004544530686e+001dB,-2.42472332809838e-004°)
7.76247116628690e+000	(2.00004544534798e+001dB,-2.48120238933417e-004°)
7.94328234724279e+000	(2.00004544539104e+001dB,-2.53899701708391e-004°)
8.12830516164097e+000	(2.00004544543613e+001dB,-2.59813785430002e-004°)
8.31763771102669e+000	(2.00004544548334e+001dB,-2.65865625876022e-004°)
8.51138038202374e+000	(2.00004544553278e+001dB,-2.72058431824730e-004°)
8.70963589956078e+000	(2.00004544558455e+001dB,-2.78395486693959e-004°)
8.91250938133743e+000	(2.00004544563876e+001dB,-2.84880150552010e-004°)
9.12010839355907e+000	(2.00004544569552e+001dB,-2.91515861630616e-004°)
9.33254300796988e+000	(2.00004544575496e+001dB,-2.98306138283515e-004°)
9.54992586021433e+000	(2.00004544581720e+001dB,-3.05254580767918e-004°)
9.77237220955808e+000	(2.00004544588237e+001dB,-3.12364873289217e-004°)
9.99999999999997e+000	(2.00004544595062e+001dB,-3.19640785780391e-004°)
1.02329299228075e+001	(2.00004544602208e+001dB,-3.27086176025068e-004°)
1.04712854805090e+001	(2.00004544609691e+001dB,-3.34704991707532e-004°)
1.07151930523760e+001	(2.00004544617526e+001dB,-3.42501272369463e-004°)
1.09647819614318e+001	(2.00004544625731e+001dB,-3.50479151742766e-004°)
1.12201845430196e+001	(2.00004544634323e+001dB,-3.58642859775368e-004°)
1.14815362149688e+001	(2.00004544643319e+001dB,-3.66996725032004e-004°)
1.17489755493953e+001	(2.00004544652739e+001dB,-3.75545176751952e-004°)
1.20226443461741e+001	(2.00004544662604e+001dB,-3.84292747496733e-004°)
1.23026877081238e+001	(2.00004544672933e+001dB,-3.93244075344240e-004°)
1.25892541179416e+001	(2.00004544683749e+001dB,-4.02403906373853e-004°)
1.28824955169313e+001	(2.00004544695075e+001dB,-4.11777097246948e-004°)
1.31825673855640e+001	(2.00004544706934e+001dB,-4.21368617803113e-004°)
1.34896288259165e+001	(2.00004544719353e+001dB,-4.31183553523469e-004°)
1.38038426460288e+001	(2.00004544732356e+001dB,-4.41227108485760e-004°)
1.41253754462275e+001	(2.00004544745973e+001dB,-4.51504607823715e-004°)
1.44543977074592e+001	(2.00004544760231e+001dB,-4.62021500931366e-004°)
1.47910838816820e+001	(2.00004544775162e+001dB,-4.72783363852226e-004°)
1.51356124843620e+001	(2.00004544790795e+001dB,-4.83795902780910e-004°)
1.54881661891248e+001	(2.00004544807166e+001dB,-4.95064956691667e-004°)
1.58489319246111e+001	(2.00004544824308e+001dB,-5.06596500522690e-004°)
1.62181009735892e+001	(2.00004544842258e+001dB,-5.18396648552798e-004°)
1.65958690743755e+001	(2.00004544861055e+001dB,-5.30471657247500e-004°)
1.69824365246174e+001	(2.00004544880736e+001dB,-5.42827929040940e-004°)
1.73780082874937e+001	(2.00004544901346e+001dB,-5.55472015300696e-004°)
1.77827941003892e+001	(2.00004544922927e+001dB,-5.68410620152801e-004°)
1.81970085860998e+001	(2.00004544945525e+001dB,-5.81650603791194e-004°)
1.86208713666286e+001	(2.00004544969188e+001dB,-5.95198986251537e-004°)
1.90546071796324e+001	(2.00004544993966e+001dB,-6.09062951013352e-004°)
1.94984459975804e+001	(2.00004545019912e+001dB,-6.23249848928523e-004°)
1.99526231496887e+001	(2.00004545047080e+001dB,-6.37767202098418e-004°)
2.04173794466952e+001	(2.00004545075529e+001dB,-6.52622707891952e-004°)
2.08929613085403e+001	(2.00004545105319e+001dB,-6.67824242730475e-004°)
2.13796208950222e+001	(2.00004545136513e+001dB,-6.83379866798880e-004°)
2.18776162394954e+001	(2.00004545169177e+001dB,-6.99297827806827e-004°)
2.23872113856833e+001	(2.00004545203380e+001dB,-7.15586565659838e-004°)
2.29086765276776e+001	(2.00004545239195e+001dB,-7.32254716914281e-004°)
2.34422881531991e+001	(2.00004545276698e+001dB,-7.49311119208924e-004°)
2.39883291901948e+001	(2.00004545315969e+001dB,-7.66764816034958e-004°)
2.45470891568502e+001	(2.00004545357090e+001dB,-7.84625061660420e-004°)
2.51188643150957e+001	(2.00004545400150e+001dB,-8.02901325753728e-004°)
2.57039578276885e+001	(2.00004545445238e+001dB,-8.21603298555214e-004°)
2.63026799189537e+001	(2.00004545492452e+001dB,-8.40740896187950e-004°)
2.69153480392690e+001	(2.00004545541891e+001dB,-8.60324265651513e-004°)
2.75422870333815e+001	(2.00004545593659e+001dB,-8.80363790226234e-004°)
2.81838293126444e+001	(2.00004545647868e+001dB,-9.00870095118920e-004°)
2.88403150312659e+001	(2.00004545704631e+001dB,-9.21854053142384e-004°)
2.95120922666637e+001	(2.00004545764070e+001dB,-9.43326790143764e-004°)
3.01995172040200e+001	(2.00004545826310e+001dB,-9.65299691274856e-004°)
3.09029543251358e+001	(2.00004545891483e+001dB,-9.87784406761382e-004°)
3.16227766016837e+001	(2.00004545959727e+001dB,-1.01079285852463e-003°)
3.23593656929627e+001	(2.00004546031188e+001dB,-1.03433724564505e-003°)
3.31131121482590e+001	(2.00004546106016e+001dB,-1.05843005181479e-003°)
3.38844156139201e+001	(2.00004546184372e+001dB,-1.08308405129601e-003°)
3.46736850452530e+001	(2.00004546266420e+001dB,-1.10831231598890e-003°)
3.54813389233574e+001	(2.00004546352334e+001dB,-1.13412822204567e-003°)
3.63078054770100e+001	(2.00004546442298e+001dB,-1.16054545765315e-003°)
3.71535229097171e+001	(2.00004546536502e+001dB,-1.18757802941486e-003°)
3.80189396320559e+001	(2.00004546635145e+001dB,-1.21524027017858e-003°)
3.89045144994279e+001	(2.00004546738437e+001dB,-1.24354684704484e-003°)
3.98107170553495e+001	(2.00004546846597e+001dB,-1.27251276845622e-003°)
4.07380277804111e+001	(2.00004546959855e+001dB,-1.30215339244145e-003°)
4.16869383470333e+001	(2.00004547078450e+001dB,-1.33248443475799e-003°)
4.26579518801591e+001	(2.00004547202635e+001dB,-1.36352197728077e-003°)
4.36515832240164e+001	(2.00004547332672e+001dB,-1.39528247664971e-003°)
4.46683592150961e+001	(2.00004547468838e+001dB,-1.42778277242684e-003°)
4.57088189614873e+001	(2.00004547611421e+001dB,-1.46104009676024e-003°)
4.67735141287196e+001	(2.00004547760724e+001dB,-1.49507208313047e-003°)
4.78630092322636e+001	(2.00004547917063e+001dB,-1.52989677569265e-003°)
4.89778819368444e+001	(2.00004548080770e+001dB,-1.56553263877215e-003°)
5.01187233627270e+001	(2.00004548252192e+001dB,-1.60199856696953e-003°)
5.12861383991362e+001	(2.00004548431694e+001dB,-1.63931389499786e-003°)
5.24807460249770e+001	(2.00004548619655e+001dB,-1.67749840765811e-003°)
5.37031796370250e+001	(2.00004548816474e+001dB,-1.71657235100406e-003°)
5.49540873857622e+001	(2.00004549022569e+001dB,-1.75655644232867e-003°)
5.62341325190346e+001	(2.00004549238377e+001dB,-1.79747188184887e-003°)
5.75439937337154e+001	(2.00004549464356e+001dB,-1.83934036315281e-003°)
5.88843655355586e+001	(2.00004549700985e+001dB,-1.88218408542672e-003°)
6.02559586074355e+001	(2.00004549948766e+001dB,-1.92602576494139e-003°)
6.16595001861479e+001	(2.00004550208224e+001dB,-1.97088864677209e-003°)
6.30957344480190e+001	(2.00004550479910e+001dB,-2.01679651799928e-003°)
6.45654229034652e+001	(2.00004550764401e+001dB,-2.06377371919641e-003°)
6.60693448007593e+001	(2.00004551062299e+001dB,-2.11184515822420e-003°)
6.76082975391978e+001	(2.00004551374236e+001dB,-2.16103632294134e-003°)
6.91830970918933e+001	(2.00004551700875e+001dB,-2.21137329533571e-003°)
7.07945784384134e+001	(2.00004552042908e+001dB,-2.26288276400565e-003°)
7.24435960074986e+001	(2.00004552401060e+001dB,-2.31559204011259e-003°)
