time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	-4.448566e-003
1.953124995068833e-009	1.953125e-006	-4.447057e-003
3.738839276274625e-008	3.738840e-005	-4.455543e-003
7.282366053042367e-008	7.282367e-005	-4.448811e-003
1.082589282981011e-007	1.082589e-004	-4.426862e-003
1.436941960657785e-007	1.436942e-004	-4.389696e-003
1.791294638334559e-007	1.791295e-004	-4.337312e-003
2.145647316011334e-007	2.145647e-004	-4.269711e-003
2.499999993688107e-007	2.500000e-004	-4.186893e-003
4.999999987376214e-007	5.000000e-004	-2.497897e-003
9.999999974752427e-007	1.000000e-003	3.754881e-003
1.838515105062289e-006	1.838515e-003	1.411322e-002
2.992297302049778e-006	2.992297e-003	2.434521e-002
4.097120704046240e-006	4.097121e-003	3.525382e-002
5.394420209589844e-006	5.394420e-003	4.936720e-002
6.762768366527576e-006	6.762768e-003	6.206167e-002
8.221918280197367e-006	8.221919e-003	7.685414e-002
1.000000000000000e-005	1.000000e-002	9.696926e-002
1.017780817198027e-005	1.000000e-002	9.657885e-002
1.053342451594079e-005	1.000000e-002	9.570957e-002
1.124465720386185e-005	1.000000e-002	9.507886e-002
1.266712257970395e-005	1.000000e-002	9.575085e-002
1.398778373895249e-005	1.000000e-002	9.578785e-002
1.662910605744957e-005	1.000000e-002	9.552530e-002
1.929042135346948e-005	1.000000e-002	9.563905e-002
2.273907723911576e-005	1.000000e-002	9.550120e-002
2.741191848982283e-005	1.000000e-002	9.557740e-002
3.357867417656738e-005	1.000000e-002	9.555034e-002
4.429136352234497e-005	1.000000e-002	9.555343e-002
5.947660211225549e-005	1.000000e-002	9.555917e-002
8.339284808564989e-005	1.000000e-002	9.555113e-002
1.205911959583864e-004	1.000000e-002	9.555639e-002
1.694193209583864e-004	1.000000e-002	9.555460e-002
2.182474459583864e-004	1.000000e-002	9.555399e-002
2.670755709583863e-004	1.000000e-002	9.555434e-002
3.159036959583863e-004	1.000000e-002	9.555392e-002
3.647318209583863e-004	1.000000e-002	9.555428e-002
4.135599459583863e-004	1.000000e-002	9.555387e-002
4.623880709583863e-004	1.000000e-002	9.555423e-002
5.112161959583863e-004	1.000000e-002	9.555384e-002
5.600443209583864e-004	1.000000e-002	9.555418e-002
6.088724459583864e-004	1.000000e-002	9.555380e-002
6.577005709583865e-004	1.000000e-002	9.555413e-002
7.065286959583865e-004	1.000000e-002	9.555376e-002
7.553568209583866e-004	1.000000e-002	9.555408e-002
8.041849459583866e-004	1.000000e-002	9.555373e-002
8.530130709583866e-004	1.000000e-002	9.555403e-002
9.018411959583867e-004	1.000000e-002	9.555369e-002
9.506693209583867e-004	1.000000e-002	9.555398e-002
9.994974459583868e-004	1.000000e-002	9.555366e-002
1.048325570958387e-003	1.000000e-002	9.555393e-002
1.097153695958387e-003	1.000000e-002	9.555362e-002
1.145981820958387e-003	1.000000e-002	9.555388e-002
1.194809945958387e-003	1.000000e-002	9.555359e-002
1.243638070958387e-003	1.000000e-002	9.555384e-002
1.292466195958387e-003	1.000000e-002	9.555357e-002
1.341294320958387e-003	1.000000e-002	9.555379e-002
1.390122445958387e-003	1.000000e-002	9.555354e-002
1.438950570958387e-003	1.000000e-002	9.555375e-002
1.487778695958387e-003	1.000000e-002	9.555352e-002
1.536606820958387e-003	1.000000e-002	9.555371e-002
1.585434945958387e-003	1.000000e-002	9.555350e-002
1.634263070958387e-003	1.000000e-002	9.555367e-002
